rpid,parent
3076991857,3061361771
3077102678,3061442881
3077266198,3061361771
3077264302,3061361771
3078014084,3061780613
3080901071,3061361771
3081217355,3061437039
3082222026,3061442881
3082320815,3061361771
3082317500,3061361771
3082778493,3061361771
3083620551,3061437039
3084197020,3061487421
3085469746,3061361771
3088778023,3061361771
3088985142,3061487421
3089958817,3061361771
3094810924,3061361771
3095013992,3061361771
3095336565,3061361771
3095449636,3061593093
3097435882,3061361771
3101232796,3061442881
3115503309,3061361771
3118390873,3061361771
3122098947,3061361771
3133766148,3061451247
3134414911,3061361771
3135867493,3061361771
3137225701,3061437039
3138451309,3061361771
3138735377,3061361771
3139478057,3061437039
3144184333,3061361771
3145487753,3061361771
3148262260,3061361771
3150526810,3061487421
3165523587,3061437039
3167750473,3061361771
3167755421,3061437039
3174255995,3061361771
3177119049,3061361771
3180294920,3061437039
3180907673,3061456039
3185521497,3061487421
3192309712,3061361771
3195264536,3061504354
3195360352,3195264536
3195370734,3195360352
3202443113,3061442881
3205225370,3061361771
3205575504,3061437039
3209697016,3061361771
3214624664,3061456039
3233565883,3061442881
3243851884,3061456039
3248052712,3061516293
3248615628,3061361771
3248620565,3061361771
3260633535,3061361771
3280363353,3061437039
3281456921,3061593093
3302798738,3061437039
3302826870,3061755298
3313455093,3061361771
3336317473,3061361771
3336469573,3061361771
3356995459,3061437039
3373311454,3061437039
3389100886,3061437039
3392127409,3061361771
3405185100,3061361771
3411628954,3061437039
3446220267,3061361771
3447494500,3061456039
3447654278,3061451247
3459777859,3061361771
3465805074,3061361771
3471719468,3061361771
3476015352,3061361771
3494821823,3061361771
3518288145,3061361771
3524696117,3061361771
3539806096,3061442881
3544299890,3061361771
3548400910,3061437039
3579586352,3061437039
3635342678,3061361771
3928793207,3061361771
3998426463,3061361771
3061530361,3061445791
3061587189,3061445791
3061582760,3061445791
3061622672,3061445791
3061630247,3061445791
3061744774,3061445791
3061752767,3061445791
3061772308,3061752767
3061776548,3061445791
3061785270,3061445791
3061787396,3061445791
3061787813,3061445791
3061802968,3061445791
3061816255,3061445791
3061823549,3061445791
3061836038,3061752767
3061850594,3061752767
3061865212,3061445791
3061870734,3061445791
3061870900,3061787396
3061873911,3061445791
3061874584,3061744774
3061891743,3061445791
3061915275,3061744774
3061918070,3061445791
3061929038,3061752767
3061932111,3061445791
3061940386,3061744774
3061953310,3061445791
3061954146,3061445791
3061995699,3061445791
3062016337,3061744774
3062031838,3061445791
3062024161,3061445791
3062047201,3061787813
3062047856,3061445791
3062073786,3061870900
3062093826,3061445791
3062105292,3061445791
3062107782,3061445791
3062117530,3061445791
3062133617,3061445791
3062140389,3061445791
3062141498,3061744774
3062142400,3061445791
3062169143,3061445791
3062194618,3061445791
3062202082,3061445791
3062210024,3061744774
3062213057,3061744774
3062270951,3061744774
3062288083,3061744774
3062320614,3061744774
3062325712,3061929038
3062335278,3061870900
3062340070,3061445791
3062339714,3061752767
3062364510,3061445791
3062373539,3061744774
3062374732,3061752767
3062389395,3061445791
3062405012,3061445791
3062403728,3061744774
3062419854,3061744774
3062454176,3061445791
3062497280,3061445791
3062505190,3061445791
3062502797,3061445791
3062502906,3061744774
3062507951,3061445791
3062514852,3061445791
3062530283,3061752767
3062532034,3062107782
3062534022,3061744774
3062537572,3061744774
3062550168,3061744774
3062556174,3061445791
3062566744,3061445791
3062567603,3061445791
3062575677,3061752767
3062577494,3061445791
3062588708,3061772308
3062625754,3061445791
3062622313,3061445791
3062622665,3061445791
3062629491,3061445791
3062641608,3061445791
3062651167,3061752767
3062667272,3061445791
3062672089,3061744774
3062680378,3061744774
3062685335,3061445791
3062731318,3061445791
3062733235,3061445791
3062735090,3061744774
3062736979,3061752767
3062781245,3061445791
3062795426,3061744774
3062808821,3061752767
3062832986,3061744774
3062833774,3061445791
3062847529,3061744774
3062854335,3061445791
3062858589,3061445791
3062877062,3061744774
3062873936,3061445791
3062874951,3061744774
3062879507,3061752767
3062909760,3061744774
3062935457,3062651167
3062938494,3061445791
3062938646,3061744774
3062942468,3061744774
3062947803,3061445791
3062965671,3061744774
3062964246,3061445791
3062966592,3061445791
3062967246,3061744774
3062982752,3061445791
3062983432,3061744774
3062998979,3061752767
3063014368,3061445791
3063029044,3061445791
3063041649,3061744774
3063056094,3061445791
3063057472,3061445791
3063063894,3061445791
3063068205,3061744774
3063079146,3061445791
3063090616,3061445791
3063099145,3061445791
3063112303,3062984620
3063119073,3061445791
3063127987,3061445791
3063159688,3061445791
3063164465,3061445791
3063208700,3061445791
3063215903,3061445791
3063225873,3061445791
3063238815,3061445791
3063251802,3061445791
3063267110,3061445791
3063275334,3061445791
3063295939,3063275334
3063324702,3061445791
3063341854,3061744774
3063350297,3061445791
3063379018,3061445791
3063385769,3061445791
3063395528,3061445791
3063403647,3061785270
3063416246,3061445791
3063412381,3061445791
3063420952,3061445791
3063500278,3061445791
3063527241,3061445791
3063539068,3061744774
3063543399,3061445791
3063547363,3061445791
3063550953,3061744774
3063582834,3061744774
3063587766,3061744774
3063632126,3061445791
3063629743,3061445791
3063681142,3061744774
3063685624,3061915275
3063722957,3061744774
3063742879,3061445791
3063750252,3061445791
3063744148,3061445791
3063775309,3061744774
3063785020,3061752767
3063787085,3061445791
3063790262,3061445791
3063805001,3061744774
3063802936,3061744774
3063850620,3061445791
3063844906,3061744774
3063885451,3061744774
3063958740,3061744774
3063970943,3061445791
3063967627,3061445791
3063980670,3061445791
3064017780,3061445791
3064047470,3061744774
3064088268,3061445791
3064095963,3061445791
3064126884,3061744774
3064153854,3061744774
3064192264,3061445791
3064212167,3061445791
3064224722,3061445791
3064236045,3061445791
3064254676,3061744774
3064288189,3061445791
3064294119,3062107782
3064307672,3064153854
3064309820,3062194618
3064317225,3062983432
3064334129,3064317225
3064362453,3062194618
3064380523,3061752767
3064375859,3064294119
3064423981,3061445791
3064450634,3061744774
3064475809,3061445791
3064490170,3061445791
3064494689,3061744774
3064515293,3061744774
3064512506,3061445791
3064520480,3061744774
3064564854,3061445791
3064623221,3061445791
3064683416,3061445791
3064745651,3061752767
3064782717,3061445791
3064787724,3062532034
3064800832,3061445791
3064820262,3061445791
3064835285,3061744774
3064885967,3061752767
3064879886,3061445791
3064911249,3061744774
3064918770,3061744774
3064927705,3061744774
3064932982,3061445791
3065000989,3061445791
3065013238,3061445791
3065060947,3061445791
3065147385,3061752767
3065148188,3061445791
3065188564,3061752767
3065200729,3061445791
3065216235,3061744774
3065228860,3061622672
3065232362,3065147385
3065237600,3065188564
3065457187,3061445791
3065492634,3061744774
3065556159,3061630247
3065613336,3061445791
3065614458,3061752767
3065648882,3061445791
3065770208,3061445791
3065799875,3061445791
3065820378,3061445791
3065875101,3061445791
3065887678,3061744774
3065934718,3061744774
3065940932,3061445791
3065981187,3061445791
3066132614,3061445791
3066133154,3061445791
3066225094,3061445791
3066240741,3061445791
3066274671,3061445791
3066403733,3061445791
3066530083,3061752767
3066571303,3061445791
3066593459,3061445791
3066679823,3061445791
3066840202,3061445791
3066963031,3061891743
3067072899,3061445791
3067225205,3061445791
3067228437,3061445791
3067417588,3061445791
3067518415,3061445791
3067519595,3061622672
3067532034,3062140389
3067591356,3061445791
3067631146,3061582760
3067629325,3061772308
3067649977,3061445791
3067703106,3061915275
3067788973,3061445791
3067905243,3061445791
3067905599,3061744774
3067931134,3061445791
3067944241,3061445791
3068105151,3061744774
3068174587,3061445791
3068211067,3061445791
3068284201,3061445791
3068313512,3061445791
3068488999,3061445791
3068529530,3061445791
3068574381,3061445791
3068614947,3061445791
3068623012,3061445791
3068666440,3061445791
3068706442,3061870900
3068722667,3061445791
3068930743,3061445791
3068985096,3061445791
3069118351,3061445791
3069415384,3064317225
3069537400,3061744774
3069584169,3061445791
3069616387,3061787813
3069674171,3061445791
3069888448,3061744774
3070068652,3061445791
3070101708,3061752767
3070118278,3061445791
3070201891,3061445791
3070248306,3061752767
3070279995,3061445791
3070336200,3061445791
3070333126,3061445791
3070424853,3061445791
3070461697,3061445791
3070462257,3061744774
3070486624,3061744774
3070525224,3061744774
3070644853,3061445791
3070681021,3061445791
3070691840,3061445791
3070695567,3061744774
3071404635,3061752767
3071417811,3061445791
3071463537,3061744774
3071521072,3061744774
3071553017,3061445791
3071690851,3061744774
3071979063,3061744774
3072152979,3061445791
3072556993,3061445791
3072976899,3061744774
3073721648,3061744774
3073750739,3061445791
3074107621,3061744774
3074140693,3061445791
3074672909,3061752767
3074721347,3061445791
3074766491,3061445791
3074830971,3061445791
3075167541,3061445791
3075806840,3061445791
3076306083,3061445791
3077897855,3061744774
3078271212,3061995699
3078773114,3061744774
3078804344,3061744774
3079111872,3061744774
3079534230,3061445791
3079822144,3061752767
3080448098,3061445791
3081049284,3061445791
3081148137,3061445791
3082019540,3062879507
3082745949,3061445791
3083664231,3061445791
3083769334,3061744774
3084230102,3061744774
3084588528,3061445791
3084781907,3061445791
3085728869,3061445791
3087538054,3061445791
3088804484,3061445791
3088963332,3061445791
3088992585,3061744774
3089199633,3061445791
3089653168,3061744774
3090307970,3061445791
3090481528,3061445791
3090524858,3061445791
3090803259,3061445791
3092516519,3061445791
3092641740,3062339714
3093140561,3061744774
3093818807,3061787396
3096488560,3061445791
3101686954,3061445791
3102145154,3061445791
3108637695,3061445791
3111550706,3061445791
3111705618,3061445791
3111990315,3061752767
3112296235,3061752767
3114352630,3061787396
3116713084,3061744774
3116828792,3061744774
3118181400,3061445791
3128327439,3061744774
3128365394,3061445791
3131122395,3061445791
3131216623,3061744774
3132614155,3061630247
3132742619,3132614155
3136404784,3061744774
3137962706,3061445791
3138731817,3061445791
3139130912,3061445791
3141176284,3061445791
3143802294,3061744774
3144576945,3061744774
3146484728,3061744774
3146518815,3061445791
3147374570,3061744774
3152839956,3061445791
3153789756,3061816255
3155410554,3061445791
3156408143,3061445791
3159784819,3061744774
3160246382,3061445791
3160523144,3061445791
3162711137,3061445791
3163525331,3061445791
3164220671,3061445791
3167859117,3061445791
3167912344,3061445791
3170437217,3061622672
3173790854,3061445791
3173882460,3061744774
3174327100,3061445791
3174437789,3061445791
3177606076,3061445791
3179288352,3061445791
3181068775,3061445791
3181585438,3061445791
3188949121,3061445791
3190607397,3061445791
3193532885,3061744774
3194417197,3061744774
3196134515,3061445791
3198604120,3061445791
3200084947,3061445791
3205220244,3061445791
3236242363,3061445791
3237986217,3061752767
3239265189,3061445791
3246955167,3061445791
3287758738,3061445791
3298835634,3061445791
3404011796,3061744774
3432844367,3061445791
3443666111,3061630247
3453146459,3061752767
3458494203,3061445791
3478434412,3061445791
3492143518,3061445791
3500681139,3061752767
3507120437,3061445791
3524653448,3061744774
3551461952,3061445791
3556244184,3061630247
3558934834,3061445791
3562638684,3061445791
3562793677,3061445791
3575468777,3061582760
3579421477,3061445791
3595556429,3061445791
3611380688,3061445791
3667516731,3061445791
3705177375,3061445791
3782261258,3061445791
3061774664,3061645659
3061790967,3061645659
3061784343,3061645659
3061794510,3061645659
3061798957,3061645659
3061808935,3061645659
3061872702,3061645659
3061891164,3061645659
3061883481,3061774664
3061893622,3061798957
3061920035,3061645659
3061954523,3061774664
3061960412,3061893622
3061986399,3061645659
3062007010,3061645659
3062009424,3061645659
3062042423,3061645659
3062049721,3061645659
3062056179,3061645659
3062053147,3061645659
3062062567,3061645659
3062083641,3061798957
3062100450,3061645659
3062111424,3061774664
3062109893,3061798957
3062128534,3061645659
3062138555,3061645659
3062171427,3061645659
3062191638,3061774664
3062197530,3062171427
3062202959,3062171427
3062203482,3061893622
3062209103,3062042423
3062213041,3061784343
3062225301,3062171427
3062236616,3061893622
3062229061,3061645659
3062242068,3061645659
3062271161,3061645659
3062300301,3061774664
3062306350,3062209103
3062306421,3061645659
3062316598,3061645659
3062316943,3062171427
3062326503,3061798957
3062318331,3061645659
3062332108,3061645659
3062348291,3062171427
3062349802,3061798957
3062363124,3061798957
3062371965,3061645659
3062382458,3061893622
3062389273,3061645659
3062397962,3061798957
3062418907,3061893622
3062432942,3061774664
3062453706,3062042423
3062456985,3062418907
3062466934,3062236616
3062464630,3061645659
3062478082,3062042423
3062474554,3062171427
3062479103,3062229061
3062490584,3061645659
3062491565,3061645659
3062499511,3062418907
3062502127,3061645659
3062512248,3061645659
3062513717,3062042423
3062514761,3062042423
3062521595,3061808935
3062541660,3061798957
3062545105,3061645659
3062543358,3061784343
3062544463,3061645659
3062546611,3061893622
3062558517,3061798957
3062570276,3061645659
3062563483,3061798957
3062572282,3061645659
3062576673,3061798957
3062582631,3062171427
3062587349,3061774664
3062588680,3062009424
3062592816,3061798957
3062594494,3061986399
3062631431,3062236616
3062632001,3061893622
3062635356,3061774664
3062649099,3061645659
3062660274,3061645659
3062671032,3061774664
3062672074,3061645659
3062676543,3062100450
3062690248,3061798957
3062691778,3062676543
3062697364,3061645659
3062705545,3061986399
3062699797,3061645659
3062726059,3062171427
3062728201,3061645659
3062733294,3061645659
3062755413,3061920035
3062763718,3061986399
3062764937,3061645659
3062791927,3061645659
3062805723,3061798957
3062796797,3061645659
3062802503,3061893622
3062813465,3061645659
3062838676,3062209103
3062865468,3061774664
3062858543,3061645659
3062859150,3061645659
3062876187,3061808935
3062872826,3061774664
3062883083,3062171427
3062883450,3062171427
3062901349,3061645659
3062907597,3061645659
3062907834,3062171427
3062931712,3062632001
3062932683,3062111424
3062933277,3062802503
3062937688,3062546611
3062945845,3061645659
3062943831,3062558517
3062948695,3061808935
3062963701,3061645659
3062968820,3061774664
3062969895,3062009424
3062983498,3061798957
3062996892,3061645659
3063010498,3061798957
3063022909,3062042423
3063023266,3062171427
3063028904,3061798957
3063064542,3061645659
3063078035,3061986399
3063085893,3062332108
3063090809,3061808935
3063100449,3061645659
3063120361,3062171427
3063122385,3061645659
3063125732,3061798957
3063130787,3061808935
3063137148,3061645659
3063139426,3061645659
3063150529,3061645659
3063142011,3061645659
3063147069,3061645659
3063155336,3061645659
3063169208,3062499511
3063174703,3062100450
3063205423,3061774664
3063210719,3061645659
3063204966,3061645659
3063215941,3061645659
3063216050,3063085893
3063218360,3061893622
3063226712,3061798957
3063239637,3062042423
3063244149,3061645659
3063249558,3061645659
3063261428,3061645659
3063306418,3061645659
3063303939,3061645659
3063315665,3061808935
3063322075,3061645659
3063327339,3061645659
3063339036,3061774664
3063339937,3061645659
3063358709,3061798957
3063359862,3061986399
3063369073,3061645659
3063394959,3061986399
3063414499,3061645659
3063418976,3061645659
3063425834,3061784343
3063436631,3061645659
3063437641,3061645659
3063450892,3061920035
3063457357,3061893622
3063457412,3063239637
3063461140,3063022909
3063474524,3061645659
3063498087,3061798957
3063522130,3062691778
3063530205,3061645659
3063531089,3061645659
3063524445,3062042423
3063529998,3062049721
3063588126,3061645659
3063596127,3061774664
3063594314,3061774664
3063599208,3063418976
3063614383,3061645659
3063620352,3063418976
3063625849,3061798957
3063631370,3061986399
3063632452,3061893622
3063641612,3061645659
3063647329,3062042423
3063668319,3061645659
3063686233,3061645659
3063692811,3061645659
3063726280,3061645659
3063726601,3061645659
3063719772,3061891164
3063761452,3061645659
3063766635,3062931712
3063802701,3061798957
3063871121,3062213041
3063920650,3061645659
3063930969,3061645659
3063978827,3062491565
3063979363,3062544463
3063992860,3061645659
3064006022,3061891164
3064010520,3062697364
3064011397,3062042423
3064004547,3061645659
3064022043,3061808935
3064030219,3063142011
3064043873,3063578572
3064051247,3061645659
3064064555,3061645659
3064069279,3063668319
3064073461,3062100450
3064083809,3061798957
3064146819,3061645659
3064205879,3061645659
3064236915,3064073461
3064237393,3063522130
3064245199,3063010498
3064286203,3062009424
3064305675,3061891164
3064322389,3061645659
3064341638,3061645659
3064346780,3061798957
3064366488,3062171427
3064376795,3062171427
3064408247,3061893622
3064436960,3061645659
3064434607,3061645659
3064468514,3062171427
3064511948,3061645659
3064627454,3064408247
3064636354,3061808935
3064680543,3061808935
3064706639,3061645659
3064742320,3061808935
3064756949,3061645659
3064759592,3062042423
3064765526,3061920035
3064798021,3061645659
3064811505,3064742320
3064815302,3061798957
3064820016,3061645659
3064841765,3061645659
3064844516,3062349802
3064846707,3062209103
3064855725,3061645659
3064873304,3061798957
3064884293,3062171427
3064879714,3061645659
3064895320,3061774664
3064897358,3061774664
3064898334,3061798957
3064914124,3061798957
3064953497,3061798957
3064953991,3062883450
3064982458,3061645659
3064989854,3061645659
3065006356,3061645659
3065032788,3061645659
3065049396,3061808935
3065063102,3061645659
3065069422,3061872702
3065100993,3062042423
3065093419,3062042423
3065097837,3061645659
3065157305,3064982458
3065184083,3062171427
3065205273,3061645659
3065213408,3061645659
3065249198,3062100450
3065284987,3061645659
3065292762,3063668319
3065316889,3061784343
3065345198,3061774664
3065364432,3061645659
3065393772,3062171427
3065389588,3061645659
3065408675,3062418907
3065410861,3062418907
3065404770,3062499511
3065428758,3062171427
3065467636,3062948695
3065468517,3064982458
3065464268,3061645659
3065503840,3062171427
3065573099,3065408675
3065586442,3061645659
3065617794,3061645659
3065664279,3061798957
3065693098,3061774664
3065704270,3061645659
3065713074,3061645659
3065717278,3062171427
3065718047,3062558517
3065722610,3061920035
3065719711,3061645659
3065730522,3062042423
3065755274,3061645659
3065760826,3061645659
3065770782,3065249198
3065775309,3062062567
3065794022,3061645659
3065806108,3061645659
3065906112,3061645659
3065940788,3061645659
3066065248,3061798957
3066079072,3061645659
3066087742,3062209103
3066111770,3062009424
3066193943,3061645659
3066197606,3062009424
3066211852,3061645659
3066256590,3061784343
3066344352,3062529449
3066540617,3061798957
3066608169,3061645659
3066626583,3062171427
3066678881,3061645659
3066679488,3062009424
3066734877,3061798957
3066777509,3061645659
3066835908,3061645659
3066908875,3061645659
3066954536,3061645659
3067433340,3061645659
3067520343,3061645659
3067536522,3061645659
3067567514,3065718047
3067592226,3065718047
3067644868,3061645659
3067680146,3067592226
3067793268,3061645659
3068095140,3061645659
3068342471,3062009424
3068429907,3062349802
3068481725,3062045010
3068482744,3061645659
3068500583,3062592816
3068545069,3062502127
3068564210,3061645659
3068589253,3062009424
3068636625,3062062567
3068730540,3061645659
3068879366,3062009424
3069088010,3061808935
3069124104,3061645659
3069124931,3062213041
3069147645,3062171427
3069174454,3061645659
3069262307,3061798957
3069418789,3061645659
3069542038,3061645659
3069552585,3061645659
3069580561,3061774664
3069599823,3061645659
3069694758,3061645659
3069741109,3061784343
3069744105,3062045010
3069891666,3061808935
3070158898,3069741109
3070290086,3061808935
3070282072,3062100450
3070291851,3061645659
3070626128,3062083641
3070631874,3061645659
3070840457,3062100450
3070840835,3062171427
3070900814,3061645659
3070905373,3061645659
3070941909,3061798957
3071072697,3061774664
3071074522,3061798957
3071175025,3062045010
3071175916,3062229061
3071189629,3061645659
3071283715,3061645659
3071366290,3061645659
3071453213,3061645659
3071464920,3061645659
3071768126,3061645659
3072255187,3061784343
3072380333,3061920035
3072559587,3072255187
3072598178,3062171427
3072630323,3061645659
3072635699,3061645659
3072629124,3061920035
3073001664,3062009424
3073255469,3063226712
3073302965,3061891164
3073391916,3061645659
3073581379,3061645659
3073608038,3061645659
3073889984,3071175025
3074032570,3061798957
3074352019,3073889984
3074357512,3071283715
3074563943,3061645659
3074749880,3062042423
3075484448,3061645659
3075638816,3061784343
3076344863,3061774664
3077103795,3061645659
3077196505,3062171427
3078749614,3061645659
3080060286,3062349802
3080124585,3061645659
3080409897,3061645659
3080575970,3061893622
3080984845,3061645659
3081915554,3061645659
3081978135,3061645659
3082850582,3063306418
3084596894,3061645659
3084645785,3061645659
3085072124,3061920035
3085247831,3062209103
3085717311,3061645659
3085988655,3062171427
3086563918,3062209103
3088990108,3062042423
3089253685,3061645659
3089938916,3061798957
3093242344,3061645659
3094373346,3061645659
3094484328,3062171427
3095465884,3061798957
3096338734,3062171427
3096875255,3062045010
3099972834,3062592816
3100405365,3062045010
3100402674,3062229061
3103959595,3061645659
3109641588,3061645659
3111232956,3061645659
3111555928,3061645659
3111913031,3062049721
3128624410,3062042423
3129478956,3061920035
3129767113,3062513717
3132192674,3062009424
3132872399,3061808935
3133184653,3062049721
3133855661,3062042423
3135871100,3061893622
3137114570,3061645659
3137296325,3062042423
3138735850,3061645659
3138788075,3061645659
3139479932,3062049721
3141544750,3062009424
3144192056,3062171427
3144735354,3061645659
3147150838,3061798957
3150458802,3062418907
3152433228,3061645659
3154727939,3062171427
3157366781,3061645659
3157505531,3062316943
3159602771,3061798957
3159606397,3062209103
3161754828,3062171427
3161976277,3061645659
3163990253,3061645659
3164004446,3061645659
3167995781,3062009424
3168769837,3061920035
3175030415,3061808935
3178034707,3061645659
3181871616,3061808935
3187315248,3061920035
3190913515,3064765526
3190922190,3129478956
3205217460,3061645659
3207560668,3061784343
3214635097,3062349802
3229687726,3061645659
3230709333,3061645659
3231471395,3062316943
3232345936,3231471395
3232458826,3232345936
3232610285,3061645659
3237070367,3062009424
3237703865,3061645659
3241368175,3061645659
3242668914,3061645659
3243876661,3061798957
3256098700,3061798957
3258596314,3061645659
3267025726,3061774664
3276796219,3061645659
3291105554,3061645659
3292778547,3061798957
3308105765,3063668319
3337383833,3062009424
3339573364,3061645659
3351942685,3062349802
3358292619,3061798957
3360597235,3062171427
3379394407,3062349802
3379406790,3062558517
3394220356,3062042423
3394871792,3061883481
3446079496,3061645659
3447200121,3061645659
3447205916,3062042423
3447392312,3447205916
3449071301,3062009424
3454548418,3062009424
3454803244,3061645659
3458235421,3061645659
3462036252,3061920035
3472150558,3061808935
3474792168,3061645659
3493186546,3062009424
3493184067,3062300301
3493189300,3062229061
3493193717,3062901349
3502971834,3061645659
3507518554,3493184067
3515401746,3062009424
3517455285,3062171427
3524116093,3063418976
3548031182,3062171427
3549843241,3061645659
3570518987,3062171427
